Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
108,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,0.14,2.07,0.78,37.8,2.07,0.78,0.07,0.18,0.09,0,0,0.17,0.17,0.08,-0.03,-0.03,0.13,0.31,0.31
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,0,0.06,0,0,0.06,0,0,,0,0,0,0,0,0.04,0,0,0.02,0.02,0.02
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,0.03,1.35,0.21,15.2,1.35,0.21,0.02,0.14,0.12,0,0,0.06,0.06,0.04,-0.03,-0.03,0.05,0.1,0.1
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,1.11,0,0,1.13,0,0,,0,0,0,0,0,0.02,0,0,0.03,0.06,0.06
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,0.04,0.64,0.09,13.3,0.64,0.08,0.07,0.5,0,0,0,0.06,0.06,0.1,-0.02,-0.02,0.08,0.14,0.14
114,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,0.22,2.61,1.2,45.8,2.61,1.2,0.08,0.18,0,0,0,0.14,0.14,0.05,0.08,0.08,0.19,0.33,0.33
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,0.03,0.37,0.09,25,0.37,0.09,0.08,0.33,0,0,0,0.02,0.02,0.07,0.01,0.01,0.01,0.03,0.03
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,0.38,0,0,0.38,0,0,,0,0,0,0.08,0.08,0.24,-0.08,-0.08,0,0.09,0.09
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,0.04,0.63,0.09,14.3,0.63,0.09,0.07,0.5,0.13,0,0,0.03,0.03,0.05,0.01,0.01,0.01,0.04,0.04
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,0,0.5,0.17,33.3,0.5,0.17,0,0,0,0,0,0.04,0.04,0.08,-0.04,-0.04,0.09,0.13,0.13
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
122,Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,0.26,2.41,0.99,41.3,2.41,1,0.11,0.26,0,0,0,0.15,0.15,0.06,0.12,0.12,0.06,0.21,0.21
